name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Faecalibacterium sp. PGM34	3567997	S	149	708	857	0.00114
Faecalibacterium sp. I2-3-92	2929490	S	78	1491	1569	0.00209
Faecalibacterium sp. i21-0019-B1	3141184	S	77	1765	1842	0.00246
Faecalibacterium sp. I3-3-33	2929492	S	54	343	397	0.00053
Faecalibacterium sp. i25-0019-C1	3141185	S	43	1602	1645	0.00219
Faecalibacterium sp. IP-1-18	2929488	S	42	2131	2173	0.00290
Faecalibacterium sp. I3-3-89	2929493	S	41	118	159	0.00021
Faecalibacterium duncaniae	411483	S	211	4126	4337	0.00579
Faecalibacterium hominis (ex Afrizal et al. 2022)	2881265	S	99	1665	1764	0.00235
Faecalibacterium taiwanense	3030638	S	96	2682	2778	0.00371
Faecalibacterium wellingii	2929491	S	40	437	477	0.00064
Lawsonibacter asaccharolyticus	2108523	S	1951	643	2594	0.00346
Ruthenibacterium lactatiformans	1550024	S	1697	511	2208	0.00295
Flavonifractor plautii	292800	S	1185	505	1690	0.00225
Dysosmobacter welbionis	2093857	S	717	6843	7560	0.01009
Ruminococcus sp. SR1/5	657323	S	351	6166	6517	0.00870
Hominenteromicrobium mulieris	2885357	S	535	536	1071	0.00143
uncultured Subdoligranulum sp.	512298	S	47	113	160	0.00021
Subdoligranulum variabile	214851	S	43	98	141	0.00019
Vescimonas coprocola	2714355	S	192	187	379	0.00051
Vescimonas fastidiosa	2714353	S	21	20	41	0.00005
Pusillibacter faecalis	2714358	S	210	106	316	0.00042
Anaerotruncus colihominis	169435	S	133	69	202	0.00027
Oscillibacter hominis	2763056	S	110	53	163	0.00022
Solibaculum mannosilyticum	2780922	S	86	41	127	0.00017
Owariibacterium komagatae	3136601	S	80	52	132	0.00018
Pseudoflavonifractor gallinarum	2779352	S	67	28	95	0.00013
Eubacterium ramulus	39490	S	2960	2934	5894	0.00786
Eubacterium ventriosum	39496	S	25	15	40	0.00005
Eubacterium limosum	1736	S	17	7	24	0.00003
Eubacterium callanderi	53442	S	10	7	17	0.00002
Anaerofustis stercorihominis	214853	S	25	6	31	0.00004
Clostridium sp. M62/1	411486	S	438	553	991	0.00132
Clostridium sp. ETTB3	3438650	S	11	5	16	0.00002
[Clostridium] innocuum	1522	S	18	35	53	0.00007
Agathobaculum massiliense	3014267	S	33	144	177	0.00024
Agathobaculum sp. NTUH-O15-33	3079302	S	10	1	11	0.00001
Butyricicoccus sp. GAM44	2109686	S	15	0	15	0.00002
Intestinimonas butyriciproducens	1297617	S	73	27	100	0.00013
Acutalibacter muris	1796620	S	10	1	11	0.00001
Intestinibacter bartlettii	261299	S	820	367	1187	0.00158
Romboutsia ilealis	1115758	S	17	25	42	0.00006
Clostridioides difficile	1496	S	37	23	60	0.00008
Christensenella sp. MSJ-20	2841518	S	92	14	106	0.00014
Christensenella minuta	626937	S	37	9	46	0.00006
Christensenella massiliensis	1805714	S	23	8	31	0.00004
Phascolarctobacterium succinatutens	626940	S	1536	3785	5321	0.00710
Phascolarctobacterium faecium	33025	S	43	4	47	0.00006
Phascolarctobacterium sp. Marseille-Q4147	2823317	S	35	66	101	0.00013
Acidaminococcus intestini	187327	S	1820	281	2101	0.00280
Enterococcus faecium	1352	S	63	2917	2980	0.00398
Enterococcus faecalis	1351	S	43	1368	1411	0.00188
Lactococcus cremoris	1359	S	411	433	844	0.00113
Lactococcus lactis	1358	S	65	238	303	0.00040
Lactococcus sp.	44273	S	16	661	677	0.00090
Streptococcus gordonii	1302	S	51	113	164	0.00022
